X,Y,OBJECTID,STN_ID,STN_DESC,DNV_STN_ADDR_STR,STN_ADDR_ADDL_STR2,DMV_ADDR_REF,DMV_STN_ZPCD,DMV_STN_POFC_NM,DMV_STN_TERR_ABBR,DMV_WI_CNTY_NM,STN_LOC_LNGT_DEG,STN_LOC_LAT_DEG,FLD_SC_NM
665974.3459,326648.2676,168,WB01,WEST BEND,1516 W. Paradise Drive,,,53095,West Bend,WI,Washington,-88.197411,43.398511,West Bend service center
413848.1434,433654.0767,169,WH01,WHITEHALL,36270 Tower Drive,Suite 400,,54773,Whitehall,WI,Trempealeau,-91.332285,44.368395,Whitehall service center
472633.6025,454155.2092,170,WH02,NEILLSVILLE,400 Hewitt Street,,,54456,Neillsville,WI,Clark,-90.596424,44.559175,Neillsville service center
453507.0198,425051.9957,171,WH03,BLACK RIVER FALLS,618 E. Main Street(Hwy 54),,,54615,Black River Falls,WI,Jackson,-90.833507,44.29568,Black River Falls service center
585598.9465,483588.8835,172,WI01,WITTENBERG,Community Center,208 W. Vinal Street,,54499,Wittenberg,WI,Shawano,-89.170243,44.822692,Wittenberg service center
661777.9174,287528.889599999,173,WK01,WAUKESHA,2019 Golf Road,,,53072,Pewaukee,WI,Waukesha,-88.259257,43.04722,Waukesha area service center
591698.5611,431889.4254,174,WP01,WAUPACA,801 W. Fulton Street,,,54981,Waupaca,WI,Waupaca,-89.100307,44.356735,Waupaca service center
606351.0641,389014.404899999,175,WP02,BERLIN,W832 State Road 91,,,54923,Berlin,WI,Green Lake,-88.923515,43.969193,Berlin service center
576105.8421,400661.445,176,WP03,WAUTOMA,715 W. Main Street,,,54982,Wautoma,WI,Waushara,-89.299294,44.076979,Wautoma service center
532464.6629,434089.9177,177,WR01,WISCONSIN RAPIDS,State Office Building,1681 2nd Avenue S.,,54495,Wisconsin Rapids,WI,Wood,-89.843528,44.379982,Wisconsin Rapids service center
622381.3925,302672.2973,178,WT01,WATERTOWN,810 West Street,,,53094,Watertown,WI,Jefferson,-88.740035,43.189887,Watertown service center
614876.7258,273617.9844,179,WT02,FORT ATKINSON,Municipal Building,101 N. Main Street,,53538,Fort Atkinson,WI,Jefferson,-88.837326,42.929287,Fort Atkinson service center
547476.2946,492886.7908,180,WU01,WAUSAU,225051 Rib Mountain Drive,,,54401,Wausau,WI,Marathon,-89.651935,44.908877,Wausau service center
